chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
累	tired	adjective	lèi			
忙	busy	adjective	máng			
渴	thirsty	adjective	kě			
饿	hungry	adjective	è			
爸爸	dad	noun	bàba			
妈妈	mum	noun	māma			
家	home; family; house; specialist in field	noun/measure word	jiā			
男朋友	boyfriend	noun	nán péngyou			
女朋友	girlfriend	noun	nǚ péngyou			
哥哥	elder brother	noun	gēge			
作家	writer	noun	zuòjiā			
工作	work	noun	gōngzuò			
商人	businessman	noun	shāngrén			
可爱	lovely	adjective	kě'ài			
狗	dog	noun	gǒu			
猫	cat	noun	māo			
条	for various long narrow things	measure word	tiáo			
口	for family members; mouth	measure word/noun	kǒu			
有点儿	somewhat; a bit	adverb	yǒudiǎnr			
两	two (used in front of a measure word)	number	liǎng			
外交官	diplomat	noun	wàijiāoguān			
秘书	secretary	noun	mìshū			
职员	office worker	noun	zhíyuán			
护士	nurse	noun	hùshi			
警察	police	noun	jǐngchá			
司机	driver	noun	sījī			
便宜	cheap	adjective	piányi			
高兴	glad	adjective	gāoxìng			
舒服	comfortable	adjective	shūfu			
漂亮	beautiful	adjective	piàoliang			
难看	ugly, bad looking	adjective	nánkàn			
难吃	taste bad (food)	adjective	nánchī			
