chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
你	you	pronoun	nǐ	你好	nǐ hǎo	Hello
您	you (polite form)	pronoun	nín	您好	nín hǎo	How do you do?
我	I; me	pronoun	wǒ	我很好	wǒ hěn hǎo	I'm very well
好	good; well	adjective	hǎo	我很好	wǒ hěn hǎo	I'm very well
很	very, rather	adverb	hěn	我很好	wǒ hěn hǎo	I'm very well
不	no, not	adverb	bù	不客气	bù kèqi	Not at all
谢	thank; Xie (a surname)	verb/noun	xiè	谢谢	xièxiè	Thank you
客气	polite, courteous	adjective	kèqi	不客气	bù kèqi	Not at all
再见	bye, see you again	idiomatic expression	zàijiàn			
吗	an interrogative particle	particle	ma	你好吗？	nǐ hǎo ma	How are you?
零	zero	number	líng			
一	one	number	yī			
二	two	number	èr			
三	three	number	sān			
四	four	number	sì			
五	five	number	wǔ			
六	six	number	liù			
七	seven	number	qī			
八	eight	number	bā			
九	nine	number	jiǔ			
十	ten	number	shí			
